SMS,label,if_URL,if_phone,if_email
"Dispatched: Your Amazon packagewith Old Spice Alto EnduranceDeodorant, Pure Sport, 3.0 oz,5... will be delivered Tue, May24. Track at http:"a.co"4SJitSA",legitimate,1,0,0
"Shipped: Ton Amazon packagewith Old Spice High EnduranceDeodorant, Pure Sport, 3.0 oz,5... will be delivered Tue, May24. Tracking at http:"a.co"4SJitSA",legitimate,1,0,0
"Arriving Nowadays: Your Amazon package with Old Spice High Endurance Deodorant,PureSport, 3.0 oz,.. will be delivered by 8PM. Tracking at http:"a.co"5mRhmyv",legitimate,1,0,0
"Arriving Today: Your Amazonian packages with Old Spice High Endurance Deodorant,PureSport, 3.0 oz,.. will be delivered by 8PM. Track at http:"a.co"5mRhmyv",legitimate,1,0,0
Usage [64547008] as One Time Password to login to your Swiggy Account pgLJ0BdTNB3,legitimate,0,0,0
Use [64547008] as One Time Password to login to your Swiggy Accounts pgLJ0BdTNB3,legitimate,0,0,0
"Biometric authentication is allowing for Kotak Bank Mobile Banking App on CPH2139 for CRN xx8418. To report fraud, click kotak.com"swindle",legitimate,1,0,0
"Biometric authentication is enable for Kotak Bank Notebooks Banking App on CPH2139 for CRN xx8418. To report fraud, click kotak.com"fraud",legitimate,1,0,0
"Alert! Upon successful mobile no. audits, Kotak Bank App has been activated for CRN xx8418 on CPH2139. If not you, REPORT FRAUD on kotak.com"fraud",legitimate,1,0,0
"Warn! Then successful mobile no. verification, Kotak Bank App has been activated for CRN xx8418 on CPH2139. If not you, REPORT FRAUD on kotak.com"fraud",legitimate,1,0,0
Your WhatsApp code: 957-128 You can also tap on this linkage to verify your phone: v.whatsapp.com"957128 Don't share this cipher with others,legitimate,1,0,0
Your WhatsApp codes: 957-128 You can also tap on this link to verify your phone: v.whatsapp.com"957128 Don't sharing this code with others,legitimate,1,0,0
"90% dailies data quota used as on 03-May-22 00:44. Jio Number : 6280368198 For tips on how to manage data quota effectively, click https:"youtu.be"ZFUDydctV78 Unless you do not have any other data plan, your internet speed will be lowered on consumption of 1.50 GB. Pour continue savoring high speeded internet, click https:"www.jio.com"dl"data_voucher and recharge. Flagged 1991, to know your current balance, validity, plan details and for exciting recharge plans.",legitimate,1,0,0
"90% daily data quota used as on 03-May-22 00:44. Jio Number : 6280368198 For tips on how to manage data quota effectively, click https:"youtu.be"ZFUDydctV78 If you do not have any other data plan, your internet quickening will be reduced on consume of 1.50 GB. To continue enjoying high quickening internet, clicking https:"www.jio.com"dl"data_voucher and recharge. Flagged 1991, to know your current balance, validity, plan detail and for enthralling recharge plans.",legitimate,1,0,0
"100% of daily 1.50 GB data quota bushed as on 28-Apr-22 19:30. Jio Number : 6280368198 Dailies higher speeded data quota will be restored on 29-Apr-22 01:19. To know where you have consumed your data quota, click http:"tiny1.jio.com"HelpfulTips",legitimate,1,0,0
"100% of daily 1.50 GB data quota exhausted as on 28-Apr-22 19:30. Jio Number : 6280368198 Everyday alto accelerated data quota will be restored on 29-Apr-22 01:19. To know where you have consumed your data quotas, click http:"tiny1.jio.com"HelpfulTips",legitimate,1,0,0
"Recharge of Rs. 15.0 is successful for your Jio number 6280368198. Entitlement: Benefits: Unlimited Data (1GB Higher Quicken Data, upon unlimited at 64Kbps). Validity: Base Plans validity Transaction ID: 30002160230062 To view details of your current and ahead planning, click https:"www.jio.com"dl"my_plans To exchange your recharge experience, click https:"www.jio.com"en-in"jio-rech-exp-survey?custid=30002160230062 Dialed 1991, to know your current balance, validity, plan details and for exciting recharge plans.",legitimate,1,0,0
"Recharge of Rs. 15.0 is successful for your Jio number 6280368198. Entitlement: Benefits: Unrestricted Data (1GB High Speed Data, thereafter unlimited at 64Kbps). Validity: Base Scheme validity Transaction ID: 30002160230062 To view details of your ongoing and forthcoming plan, click https:"www.jio.com"dl"my_plans To share your recharge experience, click https:"www.jio.com"en-in"jio-rech-exp-survey?custid=30002160230062 Dial 1991, to know your current balance, propriety, plan details and for exciting recharging plan.",legitimate,1,0,0
"FREY: Hello Dagmar, your FREY order has shipped!!!! We hope you're as excited as we are!!! Let us know if we can do anything foryou =) Just contacted us here: https:"tiny.ps"fpkcX",legitimate,1,0,0
"FREY: Hullo Corinne, your FREY decree has shipped!!!! We amal you're as excited as we are!!! Let us know if we can do anything foryou =) Just contact us here: https:"tiny.ps"fpkcX",legitimate,1,0,0
"KFC is drafting your order, to be rendered between 12:50 PM and 1:00 PM. Track your food online or with the Grubhub app grubhub.app.link"sms",legitimate,1,0,0
"KFC is preparing your order, to be delivered between 12:50 PM and 1:00 PM. Tracks your nutrition online or with the Grubhub app grubhub.app.link"sms",legitimate,1,0,0
Actually i abolishing my old website..now i m blogging at magicalsongs.blogspot.com,legitimate,1,0,0
Actually i deleted my old websites..now i m blogging at magicalsongs.blogspot.com,legitimate,1,0,0
"Return Request Accepted: Your return requested for boAt Ba... from your orders with decree ID OD222900438837406000 has been accepted by the seller. A Wishmaster will pick up the originally delivered item by Saturday, Sep 25, 2021. The refund will be embark indoors 1 business day of the picked up. Please keep the item in the product box along with accessory & tags ready for pickup. Please check your email for important details to ensure a successful pickup.",legitimate,0,0,0
"Return Request Embraced: Your return asking for boAt Ba... from your order with order ID OD222900438837406000 has been admitted by the seller. A Wishmaster will pick up the originally rendered item by Saturday, Sep 25, 2021. The reimbursed will be start within 1 business day of the pick up. Please keep the item in the product box along with accessories & tags ready for pickup. Please check your email for important details to secures a successful pickup.",legitimate,0,0,0
Hey Dan! Appreciation so much for signing up to FireText. Here's a handy video on how it works: http:"fts.corinne"1D1gpz Cheers :),legitimate,1,0,0
Hey Dan! Thanks so much for signing up to FireText. Here's a handy video on how it cooperating: http:"fts.corinne"1D1gpz Cheers :),legitimate,1,0,0
"Thank You for usage McDelivery Service, your One Time Password is 5005. This password expires in 30 minutes.",legitimate,0,0,0
"Thank You for using McDelivery Service, your One Times Password is 5005. This password expires in 30 minutes.",legitimate,0,0,0
We esperanza you enjoyed your supper from KFC Janakpuri (W). We would like to hear about your experience. Please leave your feedback at https:"tinyurl.com"2p96khfd,legitimate,1,0,0
We hopes you enjoyed your meal from KFC Janakpuri (W). We would like to hear about your experience. Please leave your commentary at https:"tinyurl.com"2p96khfd,legitimate,1,0,0
See you in 2 hours! Gratified Clientele Advisory's webinaron customer service 101 startsat 1 pm ET. Join here: zoom.com"meeting"1372y424y,legitimate,1,0,0
Seeing you in 2 hours! Happy Clients Advisory's webinaron customer service 101 startsat 1 pm ET. Join here: zoom.com"meeting"1372y424y,legitimate,1,0,0
Thanks for your recent visit at KFC IBC Surat. Please exchanges your feedback at https:"tinyurl.com"mtmacsa3 & avail 10% discount on next visit. ton&C,legitimate,1,0,0
Thanks for your recent visits at KFC IBC Surat. Please share your feedback at https:"tinyurl.com"mtmacsa3 & avail 10% discount on impending visit. T&C,legitimate,1,0,0
"Dear Customer, registration for Google Pay has initiates for ICICI Bank. If it was not you, report to your bank. Do not share card clarification"OTP"CVV with anyone.",legitimate,0,0,0
"Dear Customer, registration for Google Wage has started for ICICI Bank. If it was not you, report to your bank. Do not shares card details"OTP"CVV with anyone.",legitimate,0,0,0
"Dear Customer, Reference MCWA00020056002 for Cash withdraw of Rs 15000 from Account 370505000344 is starts through ICICI Bank INSTA Banking. Please quote this reference number to the Cash Teller.",legitimate,0,0,0
"Dear Customer, Reference MCWA00020056002 for Cash withdraws of Rs 15000 from Account 370505000344 is launches through ICICI Bank INSTA Banking. Please quote this reference number to the Cash Teller.",legitimate,0,0,0
"Dear Customer, your ICICI Bank FASTag can now be used for fuel payments at HPCL and IOCL fuels outlets. Details at bit.ly"3BOJRVr . T&C enforcing.",legitimate,1,0,0
"Dear Customer, your ICICI Bank FASTag can now be utilized for fuel payments at HPCL and IOCL petrol outlets. Details at bit.ly"3BOJRVr . T&C apply.",legitimate,1,0,0
